kgrid  kgrid**3  efermi_elec(eV)    nkt_elec  efermi_hole(eV)   nkt_hole
40     64000     -.040622912347313  9         .065006129443648  9
50     125000    -.040241032838833  9         .064171217381945  9
60     216000    -.040221270173786  9         .064022243022914  9
