0.0 0.0	0 0
1.36 8.275945999999999e-21	0 8.27595e-21
1.37 8.314932e-21	0 8.31493e-21
1.38 8.353918e-21	0 8.35392e-21
1.39 8.392904e-21	0 8.3929e-21
1.4 8.43189e-21	0 8.43189e-21
1.41 6.6447112e-20	0 6.64471e-20
1.42 1.24462334e-19	0 1.24462e-19
1.43 1.82477556e-19	0 1.82478e-19
1.44 2.40492778e-19	0 2.40493e-19
1.45 2.98508e-19	0 2.98508e-19
1.46 9.4866464e-18	0 9.48665e-18
1.47 1.86747848e-17	0 1.86748e-17
1.48 2.78629232e-17	0 2.78629e-17
1.49 3.70510616e-17	0 3.70511e-17
1.5 4.62392e-17	0 4.62392e-17
1.51 9.379993600000002e-16	0 9.37999e-16
1.52 1.82975952e-15	0 1.82976e-15
1.53 2.72151968e-15	0 2.72152e-15
1.54 3.61327984e-15	0 3.61328e-15
1.55 4.50504e-15	0 4.50504e-15
1.56 5.7913632e-14	0 5.79136e-14
1.57 1.11322224e-13	0 1.11322e-13
1.58 1.6473081600000003e-13	0 1.64731e-13
1.59 2.1813940800000002e-13	0 2.18139e-13
1.6 2.71548e-13	0 2.71548e-13
1.61 2.2564384000000003e-12	0 2.25644e-12
1.62 4.2413288e-12	0 4.24133e-12
1.63 6.226219200000001e-12	0 6.22622e-12
1.64 8.2111096e-12	0 8.21111e-12
1.65 1.0196e-11	5.42876e-303 1.0196e-11
1.66 5.6445599999999996e-11	1.02934e-300 5.64456e-11
1.67 1.026952e-10	1.91324e-298 1.02695e-10
1.68 1.4894479999999998e-10	3.4861e-296 1.48945e-10
1.69 1.9519439999999998e-10	6.22686e-294 1.95194e-10
1.7 2.41444e-10	1.09033e-291 2.41444e-10
1.71 9.303211999999999e-10	1.87155e-289 9.30321e-10
1.72 1.6191983999999999e-09	3.14924e-287 1.6192e-09
1.73 2.3080755999999996e-09	5.19476e-285 2.30808e-09
1.74 2.9969527999999997e-09	8.40009e-283 2.99695e-09
1.75 3.68583e-09	1.33155e-280 3.68583e-09
1.76 1.0482383999999999e-08	2.06915e-278 1.04824e-08
1.77 1.7278938e-08	3.15196e-276 1.72789e-08
1.78 2.4075491999999997e-08	4.7068e-274 2.40755e-08
1.79 3.0872046e-08	6.89014e-272 3.0872e-08
1.8 3.76686e-08	9.88749e-270 3.76686e-08
1.81 8.479208000000001e-08	1.39092e-267 8.47921e-08
1.82 1.3191556e-07	1.9181e-265 1.31916e-07
1.83 1.7903904e-07	2.59298e-263 1.79039e-07
1.84 2.2616252e-07	3.43622e-261 2.26163e-07
1.85 2.73286e-07	4.46395e-259 2.73286e-07
1.86 5.215067999999999e-07	5.68478e-257 5.21507e-07
1.87 7.697276e-07	7.0968e-255 7.69728e-07
1.88 1.0179483999999998e-06	8.68496e-253 1.01795e-06
1.89 1.2661692e-06	1.0419e-250 1.26617e-06
1.9 1.51439e-06	1.2253e-248 1.51439e-06
1.91 2.5752920000000003e-06	1.41258e-246 2.57529e-06
1.92 3.6361940000000003e-06	1.59639e-244 3.63619e-06
1.93 4.697096e-06	1.76856e-242 4.6971e-06
1.94 5.757998000000001e-06	1.92069e-240 5.758e-06
1.95 6.8189e-06	2.04479e-238 6.8189e-06
1.96 1.058896e-05	2.134e-236 1.0589e-05
1.97 1.435902e-05	2.1832e-234 1.4359e-05
1.98 1.812908e-05	2.18952e-232 1.81291e-05
1.99 2.189914e-05	2.15258e-230 2.18991e-05
2.0 2.56692e-05	2.07456e-228 2.56692e-05
2.01 3.678624e-05	1.95995e-226 3.67862e-05
2.0199999999999996 4.7903280000000005e-05	1.81518e-224 4.79033e-05
2.03 5.902032000000001e-05	1.64797e-222 5.90203e-05
2.04 7.013736000000001e-05	1.46667e-220 7.01374e-05
2.05 8.12544e-05	1.2796e-218 8.12544e-05
2.0599999999999996 0.00010836852	1.09438e-216 0.000108369
2.07 0.00013548264000000002	9.1752e-215 0.000135483
2.08 0.00016259676	7.54083e-213 0.000162597
2.09 0.00018971088	6.07543e-211 0.000189711
2.1 0.000216825	4.79834e-209 0.000216825
2.11 0.0002711492	3.715e-207 0.000271149
2.12 0.0003254734	2.81957e-205 0.000325473
2.13 0.00037979759999999996	2.09778e-203 0.000379798
2.1399999999999997 0.0004341218	1.53001e-201 0.000434122
