# Phonon-assisted absorption versus energy
# Photon energy (eV), Directionally-averaged imaginary dielectric function along x,y,z
  0.50000000000000E-01  0.14269623292572E-28  0.11978533237778E-28  0.10434989911255E-28  0.97027380311706E-29  0.89828986249461E-29  0.77968894982877E-29  0.67482658995155E-29  0.56376669525454E-29  0.37026395274740E-29
  0.10000000000000E+00  0.36466318833381E-27  0.27409874461603E-27  0.21430949978794E-27  0.18844737625396E-27  0.16720317552549E-27  0.13954238682666E-27  0.11904477674165E-27  0.98921982406895E-28  0.64843106630706E-28
  0.15000000000000E+00  0.11778855597922E-25  0.79120167062750E-26  0.53907803660722E-26  0.43627050646963E-26  0.36202347460531E-26  0.28392148960527E-26  0.23710874003835E-26  0.19569856678376E-26  0.12809965624905E-26
  0.20000000000000E+00  0.32908503075703E-24  0.20214145936454E-24  0.11998373669265E-24  0.87737197328358E-25  0.66446694066194E-25  0.47592237745533E-25  0.38537231522547E-25  0.31529675312850E-25  0.20630883843542E-25
  0.25000000000000E+00  0.68371974436593E-23  0.39569261408680E-23  0.21001826265095E-23  0.13891720446542E-23  0.94781303508069E-24  0.60375023648771E-24  0.46858777975281E-24  0.37901626228644E-24  0.24826746171361E-24
  0.30000000000000E+00  0.97588986902658E-22  0.54516161730322E-22  0.26789082853573E-22  0.16333509373052E-22  0.10105504837676E-22  0.56565033441333E-23  0.41635965530956E-23  0.33183487275002E-23  0.21792085594652E-23
  0.35000000000000E+00  0.91629808401505E-21  0.50234874451438E-21  0.23572545604827E-21  0.13604194682908E-21  0.78154437934560E-22  0.38930881350066E-22  0.27060682584803E-22  0.21184692987301E-22  0.13962708212032E-22
  0.40000000000000E+00  0.55257660658565E-20  0.30066801302371E-20  0.13804138706484E-20  0.77434652195536E-21  0.42668905821881E-21  0.19640074955132E-21  0.12991264190523E-21  0.99798913915974E-22  0.66039349246071E-22
  0.45000000000000E+00  0.21144702278144E-19  0.11516336525374E-19  0.52748223869711E-20  0.29462076896754E-20  0.16115964339940E-20  0.72329480313933E-21  0.46517688205469E-21  0.35192115241803E-21  0.23386762926994E-21
  0.50000000000000E+00  0.51368280150714E-19  0.28226487378712E-19  0.13111601551075E-19  0.74513094036231E-20  0.41808217553308E-20  0.19383319209602E-20  0.12499325159576E-20  0.94004999771393E-21  0.62830681929559E-21
  0.55000000000000E+00  0.82078647621182E-19  0.45917794129724E-19  0.21824460204354E-19  0.12808933639757E-19  0.75647406093029E-20  0.38014726795973E-20  0.25336806819854E-20  0.19191818217527E-20  0.12945948631095E-20
  0.60000000000000E+00  0.10056463656697E-18  0.57743582093135E-19  0.27328180399031E-19  0.16305211417094E-19  0.10121593381497E-19  0.55996590123642E-20  0.39234532406675E-20  0.30249985967635E-20  0.20675281577015E-20
  0.65000000000000E+00  0.12945163288171E-18  0.75737080979239E-19  0.32847899591374E-19  0.18465791572250E-19  0.11327334580800E-19  0.65672012030624E-20  0.47851775717703E-20  0.37540424776654E-20  0.26015074837433E-20
  0.70000000000000E+00  0.18146630882081E-18  0.10671701512459E-18  0.41887765979756E-19  0.21306306220376E-19  0.12080733498937E-19  0.66989334297323E-20  0.48711919522605E-20  0.38234068379242E-20  0.26714335930599E-20
  0.75000000000000E+00  0.20764393177051E-18  0.12327807355682E-18  0.47180616065353E-19  0.23169325081906E-19  0.12534655266157E-19  0.64719649271630E-20  0.45051217251547E-20  0.34477334172566E-20  0.24081826612414E-20
  0.80000000000000E+00  0.18037456272405E-18  0.11025214100686E-18  0.45169321937870E-19  0.23238107305999E-19  0.12725961755814E-19  0.62724185070723E-20  0.41224200854038E-20  0.30346810495774E-20  0.21167233641420E-20
  0.85000000000000E+00  0.15167503456128E-18  0.97632588459692E-19  0.45771027749225E-19  0.25060988809840E-19  0.13705881605142E-19  0.62855399545801E-20  0.38805079820208E-20  0.27607402894084E-20  0.19377234287046E-20
  0.90000000000000E+00  0.14828183276732E-18  0.98610929413413E-19  0.49966097395118E-19  0.27790351937079E-19  0.14789089329509E-19  0.62703585952444E-20  0.36728907499515E-20  0.25570688401421E-20  0.18140408314993E-20
  0.95000000000000E+00  0.13328512203704E-18  0.88744719631521E-19  0.45791325330518E-19  0.25624877806633E-19  0.13646006179647E-19  0.57669929339907E-20  0.33686489205812E-20  0.23432639923973E-20  0.16789434295852E-20
  0.10000000000000E+01  0.99318428075364E-19  0.64704200981864E-19  0.33594147958802E-19  0.19285545162568E-19  0.10713443210667E-19  0.49002141698073E-20  0.30118831948716E-20  0.21344766739307E-20  0.15387004347995E-20
  0.10500000000000E+01  0.72687107879034E-19  0.45478835006771E-19  0.23791019734346E-19  0.14257744791630E-19  0.84151494624058E-20  0.42212302949020E-20  0.27378674623836E-20  0.19684873446189E-20  0.14130894854222E-20
  0.11000000000000E+01  0.60406686546455E-19  0.36298070210626E-19  0.19247443000732E-19  0.12083541780465E-19  0.75049414734332E-20  0.39348862082887E-20  0.25785862388444E-20  0.18332398584943E-20  0.12930760710686E-20
  0.11500000000000E+01  0.67968841292735E-19  0.38483516230410E-19  0.20023286544401E-19  0.12680259263930E-19  0.78864478157793E-20  0.39823313315877E-20  0.24918504706692E-20  0.17058192037383E-20  0.11739670616742E-20
  0.12000000000000E+01  0.99466195227387E-19  0.53417711722758E-19  0.26388439546682E-19  0.16060779580089E-19  0.94573545998098E-20  0.42787670229309E-20  0.24571252385234E-20  0.16006469556616E-20  0.10788252443996E-20
