100,10629.3000,11719.0000,12795.8000,11714.7000,7924.8200,8598.6400,10491.2000,9004.8800,9.7206,8.6567,-2166.5000,-2566.3800
150,5264.2400,5689.0400,6144.1900,5699.1600,4854.0500,5228.5700,5792.2100,5291.6100,9.7038,8.6699,-879.9500,-938.1600
200,3075.5300,3277.3000,3502.9000,3285.2400,2977.7600,3186.2300,3406.1500,3190.0500,9.6851,8.6855,-427.3700,-428.3900
250,1965.7900,2073.7900,2197.7000,2079.0900,1862.8500,1980.9300,2086.2200,1976.6700,9.6648,8.7027,-231.9100,-223.3700
300,1343.0600,1406.4500,1480.5300,1410.0200,1219.0800,1289.1000,1347.5200,1285.2300,9.6432,8.7214,-137.4700,-128.4400
350,967.9850,1008.0600,1055.5800,1010.5400,840.7300,884.5900,920.2160,881.8460,9.6206,8.7412,-87.5950,-79.4860
400,728.3630,755.2430,787.5400,757.0490,608.8120,637.7400,660.9080,635.8200,9.5971,8.7620,-59.1770,-52.0960
450,567.3680,586.2740,609.2590,587.6340,459.6350,479.5750,495.3970,478.2030,9.5728,8.7838,-41.8910,-35.7620
500,454.4360,468.2490,485.2300,469.3050,359.1960,373.4510,384.6900,372.4460,9.5478,8.8063,-30.7940,-25.4940
