kgrid  kgrid**3  efermi_elec(eV)    nkt_elec  efermi_hole(eV)   nkt_hole
40     64000     -.009177178144447  8         .027789138257515  9
50     125000    -.007448047399511  8         .026417337358010  9
60     216000    -.007071550935510  8         .025732964277255  8
70     343000    -.007036700844775  8         .025482755154361  8
