kgrid  kgrid**3  efermi_elec(eV)   nkt_elec  efermi_hole(eV)    nkt_hole
50     125000    .034272223711019  6         -.002041906118394  6
60     216000    .034300386905677  6         -.001964718103415  6
76     438976    .034296661615369  6         -.001979693770403  6
96     884736    .034296885132797  6         -.001980215311042  6
