temp kgrid efermi_elec(eV) efermi_hole(eV)
100 70 -.007036700844775 .025482755154361
200 60 -.040221270173786 .064022243022914
300 60 -.080556571483613 .108135119080556
400 60 -.125812441110612 .155938714742663
500 60 -.174912661314019 .206549093127239
