36 46656 6554.0000 2405.1600 2586.2900 2767.8300 2586.4300 510.5170 644.5790 740.4810 631.8590 38540.1760 41439.1820 44338.1870 10457.8300 11730.6220 8182.3123 -362.6700 -229.9640
48 110592 17171.0000 1547.6700 1666.1300 1789.0000 1667.6000 929.4040 1018.6500 1147.3100 1031.7900 24825.2030 26717.8430 28610.4840 18288.2010 16382.8590 14922.0980 -241.3300 -217.9060
60 216000 33942.0000 1388.5800 1467.1300 1556.6300 1470.7800 1179.5700 1289.9900 1343.6000 1271.0500 22303.1280 23564.5320 24825.9350 21235.3850 20666.2240 19191.5280 -168.0500 -164.0300
72 373248 61987.0000 1343.0600 1406.4500 1480.5300 1410.0200 1219.0800 1289.1000 1347.5200 1285.2300 21590.5480 22590.9160 23591.2840 21379.9900 20624.4300 19770.0380 -137.4700 -128.4400
96 884736 146153.0000 1312.1600 1359.3000 1416.0800 1362.5100 1307.1000 1348.4600 1383.1400 1346.2300 21079.0310 21829.9380 22580.8450 22014.3330 21590.8590 21102.5230 -103.9200 -76.0400
120 1728000 291222.0000 1319.5600 1357.7400 1404.2700 1360.5200 1341.0600 1364.7600 1384.6800 1363.5000 21187.2940 21798.1490 22409.0050 22088.3260 21881.0570 21567.2250 -84.7100 -43.6200
