kgrid  kgrid**3  efermi_elec(eV)    nkt_elec  efermi_hole(eV)   nkt_hole
40     64000     -.125836655497562  11        .156032592058191  10
50     125000    -.125812664628041  10        .155941545963285  10
60     216000    -.125812441110612  10        .155938714742663  10
