temp,n,tau
77,727593157476169000,0.0000011943295645553417
77,1967515109205759000,8.075874149380606e-7
300,735155061921655000,7.742636826811278e-7
300,1961309021801190400,2.991003997461493e-7
400,732681847461513700,0.0000016933945976664673
400,1952915103108583200,4.899999981979991e-7

