temp,n,tau
77,935763979432430700,0.0000024857410325936765
77,1629313334857206800,0.0000014887712694244994
300,934449680318781800,0.0000032649328742452443
300,1643624783803234800,0.000002728993693482222
400,937431412345620500,0.0000055649244475104315
400,1635942372741093400,0.0000021415610039891224
