G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                             101         1.1681293258      0.5000000000      0.0000000000      0.5000000000
W                             151         1.7521939886      0.5000000000      0.2500000000      0.7500000000
K                             186         2.1651900724      0.3750000000      0.3750000000      0.7500000000
G                             292         3.4041783237      0.0000000000      0.0000000000      0.0000000000
L                             379         4.4158079947      0.5000000000      0.5000000000      0.5000000000
