conc kgrid efermi_elec(eV) efermi_hole(eV)
1E17 60 -.140347033739096  .167824104428302
5E17 60 -.098622329533108  .126144587993625
1E18 60 -.080556571483613  .108135119080556
2E18 60 -.062344819307329  .090035460889349
5E18 60 -.037783533334728  .065805912017822
1E19 60 -.018420666456213  .046982131898393
2E19 96  .002348348498350  .027253627777091 
5E19 96  .034296885132797 -.001980215311042
1E20 96  .065125524997723 -.029403343796724
