kgrid  kgrid**3  efermi_elec(eV)    nkt_elec  efermi_hole(eV)   nkt_hole
16     4096      -.101559236645693  11        .120762996375558  8
25     15625     -.085461027920237  10        .113317184150220  10
40     64000     -.080642215907567  10        .108449012041102  9
50     125000    -.080557987093938  10        .108156502246856  10
60     216000    -.080556571483613  10        .108135119080556  10
