kgrid  kgrid**3  efermi_elec(eV)   nkt_elec  efermi_hole(eV)   nkt_hole
50     125000    .002348199486731  7         .027195066213600  7
60     216000    .002346411347386  7         .027246102690692  7
76     438976    .002348385751241  7         .027254223823539  7
96     884736    .002348348498350  7         .027253627777091  7
