    0.1968659380E-02   -0.5076944604E+01   -0.5076330239E+01   -0.7324976691E-01   -0.5555194396E-01    0.3177465933E+01    0.3225350295E+01    0.3472538430E+01    0.3479904787E+01    0.9581025114E+01    0.9590607646E+01    0.1083077252E+02    0.1084127218E+02    0.1856397152E+02    0.1858428932E+02    0.1871160134E+02    0.1871571075E+02
    0.2091700591E-02   -0.5077043259E+01   -0.5076429947E+01   -0.7315539559E-01   -0.5549386851E-01    0.3178215577E+01    0.3226026542E+01    0.3472475221E+01    0.3479839883E+01    0.9580328798E+01    0.9589909156E+01    0.1083000348E+02    0.1084047339E+02    0.1856449589E+02    0.1858478287E+02    0.1871208620E+02    0.1871617858E+02
    0.2214741803E-02   -0.5077141824E+01   -0.5076529564E+01   -0.7306138768E-01   -0.5543615344E-01    0.3178963892E+01    0.3226701316E+01    0.3472412572E+01    0.3479775457E+01    0.9579633250E+01    0.9589211346E+01    0.1082923687E+02    0.1083967706E+02    0.1856501927E+02    0.1858527537E+02    0.1871257012E+02    0.1871664551E+02
    0.2337783014E-02   -0.5077240302E+01   -0.5076629093E+01   -0.7296751032E-01   -0.5537856836E-01    0.3179710850E+01    0.3227374583E+01    0.3472350558E+01    0.3479711584E+01    0.9578938498E+01    0.9588514242E+01    0.1082847265E+02    0.1083888316E+02    0.1856554156E+02    0.1858576673E+02    0.1871305301E+02    0.1871711146E+02
    0.2460824225E-02   -0.5077338228E+01   -0.5076728074E+01   -0.7287375773E-01   -0.5532109712E-01    0.3180456460E+01    0.3228046358E+01    0.3472289182E+01    0.3479648267E+01    0.9578244362E+01    0.9587817668E+01    0.1082771059E+02    0.1083809147E+02    0.1856606274E+02    0.1858625694E+02    0.1871353479E+02    0.1871757632E+02
    0.2583865436E-02   -0.5077436322E+01   -0.5076827222E+01   -0.7278043817E-01   -0.5526405983E-01    0.3181200630E+01    0.3228716544E+01    0.3472228328E+01    0.3479585388E+01    0.9577551095E+01    0.9587121872E+01    0.1082695110E+02    0.1083730237E+02    0.1856658304E+02    0.1858674620E+02    0.1871401576E+02    0.1871804043E+02
    0.2706906648E-02   -0.5077533888E+01   -0.5076925845E+01   -0.7268725214E-01   -0.5520714519E-01    0.3181943560E+01    0.3229385346E+01    0.3472168122E+01    0.3479523073E+01    0.9576858454E+01    0.9586426616E+01    0.1082619378E+02    0.1083651548E+02    0.1856710217E+02    0.1858723426E+02    0.1871449555E+02    0.1871850339E+02
    0.2829947859E-02   -0.5077631072E+01   -0.5077024088E+01   -0.7259412799E-01   -0.5515028844E-01    0.3182685123E+01    0.3230052629E+01    0.3472108592E+01    0.3479461350E+01    0.9576166536E+01    0.9585731998E+01    0.1082543869E+02    0.1083573085E+02    0.1856762015E+02    0.1858772112E+02    0.1871497423E+02    0.1871896526E+02
    0.2952989070E-02   -0.5077728503E+01   -0.5077122574E+01   -0.7250140066E-01   -0.5509382820E-01    0.3183425256E+01    0.3230718331E+01    0.3472049578E+01    0.3479400057E+01    0.9575475471E+01    0.9585038139E+01    0.1082468615E+02    0.1083494882E+02    0.1856813727E+02    0.1858820705E+02    0.1871545212E+02    0.1871942641E+02
    0.3076030281E-02   -0.5077825331E+01   -0.5077220463E+01   -0.7240881272E-01   -0.5503749722E-01    0.3184164086E+01    0.3231382584E+01    0.3471991226E+01    0.3479339340E+01    0.9574785057E+01    0.9584344848E+01    0.1082393578E+02    0.1083416898E+02    0.1856865320E+02    0.1858869177E+02    0.1871592882E+02    0.1871988638E+02
    0.3199071493E-02   -0.5077922136E+01   -0.5077318328E+01   -0.7231652394E-01   -0.5498146162E-01    0.3184901470E+01    0.3232045239E+01    0.3471933458E+01    0.3479279120E+01    0.9574095508E+01    0.9583652329E+01    0.1082318782E+02    0.1083339160E+02    0.1856916815E+02    0.1858917545E+02    0.1871640459E+02    0.1872034548E+02
    0.3322112704E-02   -0.5078018576E+01   -0.5077415830E+01   -0.7222432349E-01   -0.5492551194E-01    0.3185637586E+01    0.3232706472E+01    0.3471876336E+01    0.3479219459E+01    0.9573406578E+01    0.9582960346E+01    0.1082244207E+02    0.1083261645E+02    0.1856968200E+02    0.1858965797E+02    0.1871687929E+02    0.1872080354E+02
    0.3445153915E-02   -0.5078114969E+01   -0.5077513284E+01   -0.7213242327E-01   -0.5486985744E-01    0.3186372271E+01    0.3233366123E+01    0.3471819817E+01    0.3479160312E+01    0.9572718537E+01    0.9582269160E+01    0.1082169874E+02    0.1083184377E+02    0.1857019481E+02    0.1859013941E+02    0.1871735300E+02    0.1872126066E+02
    0.3568195126E-02   -0.5078210872E+01   -0.5077610252E+01   -0.7204062797E-01   -0.5481429715E-01    0.3187105628E+01    0.3234024297E+01    0.3471763940E+01    0.3479101718E+01    0.9572031132E+01    0.9581578525E+01    0.1082095759E+02    0.1083107330E+02    0.1857070651E+02    0.1859061969E+02    0.1871782560E+02    0.1872171669E+02
    0.3691236338E-02   -0.5078306817E+01   -0.5077707259E+01   -0.7194913890E-01   -0.5475904842E-01    0.3187837547E+01    0.3234680871E+01    0.3471708670E+01    0.3479043642E+01    0.9571344615E+01    0.9580888687E+01    0.1082021884E+02    0.1083030526E+02    0.1857121723E+02    0.1859109893E+02    0.1871829729E+02    0.1872217188E+02
    0.3814277549E-02   -0.5078402318E+01   -0.5077803828E+01   -0.7185789963E-01   -0.5470403419E-01    0.3188568078E+01    0.3235335909E+01    0.3471653986E+01    0.3478986060E+01    0.9570658761E+01    0.9580199426E+01    0.1081948229E+02    0.1082953947E+02    0.1857172693E+02    0.1859157711E+02    0.1871876796E+02    0.1872262606E+02
    0.3937318760E-02   -0.5078497729E+01   -0.5077900305E+01   -0.7176678721E-01   -0.5464914493E-01    0.3189297200E+01    0.3235989383E+01    0.3471599970E+01    0.3478929056E+01    0.9569973785E+01    0.9579510953E+01    0.1081874812E+02    0.1082877609E+02    0.1857223550E+02    0.1859205411E+02    0.1871923756E+02    0.1872307922E+02
    0.4060359971E-02   -0.5078592699E+01   -0.5077996342E+01   -0.7167581145E-01   -0.5459439128E-01    0.3190025019E+01    0.3236641393E+01    0.3471546618E+01    0.3478872623E+01    0.9569289484E+01    0.9578823071E+01    0.1081801608E+02    0.1082801487E+02    0.1857274296E+02    0.1859252994E+02    0.1871970607E+02    0.1872353133E+02
    0.4183401183E-02   -0.5078687797E+01   -0.5078092509E+01   -0.7158522453E-01   -0.5454001878E-01    0.3190751420E+01    0.3237291834E+01    0.3471493802E+01    0.3478816635E+01    0.9568606075E+01    0.9578135987E+01    0.1081728658E+02    0.1082725624E+02    0.1857324949E+02    0.1859300480E+02    0.1872017369E+02    0.1872398259E+02
    0.4306442394E-02   -0.5078782374E+01   -0.5078188156E+01   -0.7149481886E-01   -0.5448582573E-01    0.3191476390E+01    0.3237940681E+01    0.3471441655E+01    0.3478761220E+01    0.9567923374E+01    0.9577449527E+01    0.1081655912E+02    0.1082649968E+02    0.1857375494E+02    0.1859347853E+02    0.1872064028E+02    0.1872443285E+02
