kgrid  kgrid**3  efermi_elec(eV)   nkt_elec  efermi_hole(eV)    nkt_hole
50     125000    .065160766243923  6         -.029290840029709  6
60     216000    .065122842788692  6         -.029371306300166  5
76     438976    .065126046538361  5         -.029409527778635  5
96     884736    .065125524997723  6         -.029403343796724  5
